Attack,Ratio,FedAvg,Median,TrimmedMean,Krum,MultiKrum,Bulyan
Sign-flip,0.1,0.568,0.642,0.584,0.529,0.567,0.590
Sign-flip,0.2,0.650,0.661,0.630,0.543,0.648,NA
Sign-flip,0.3,0.500,0.530,0.500,0.536,0.560,NA
Sign-flip,0.4,0.532,0.538,0.507,NA,NA,NA
Gaussian,0.1,0.551,0.659,0.587,0.529,0.567,0.590
Gaussian,0.2,0.510,0.664,0.512,0.543,0.648,NA
Gaussian,0.3,0.515,0.640,0.479,0.536,0.560,NA
Gaussian,0.4,0.489,0.693,0.563,NA,NA,NA
ALIE,0.1,0.624,0.613,0.636,0.532,0.567,0.591
ALIE,0.2,0.679,0.661,0.710,0.553,0.663,NA
ALIE,0.3,0.624,0.619,0.623,0.500,0.503,NA
ALIE,0.4,0.630,0.613,0.586,NA,NA,NA
